"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","23581"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""][tag=""VVN"" & lemma =""design""] [tag=""N.*""] within < s/>;Shuffle:"
"Reference","Left","KWIC","Right"
"retalresidence.com","! </s><s> Retal Residence apartments are designed to maximize on space and provide the ultimate in comfort. </s><s> The 3-bedroom","interior designed apartment","offers an elegant master bedroom with en-suite bathroom, and additional bathrooms for the second and third bedrooms. </s>"
"multibriefs.com","are properly licensed, screened and insured to carry commercial passengers. </s><s> More A system to automate traffic","fines designed PhysOrg","Share Researchers at Universidad Carlos III in Madrid have designed a system that automates the administrative"
"espg.com.au","and pleasure at your doorstep - with local shops, the ferry and newly renovated ocean pool just a minute''s stroll away. •","Architect designed penthouse","with extensive living areas • Separate dining room (originally 3rd bedroom) opens to balcony. </s><s> Easy conversion to 3"
"heiditrautmann.com","had also moved the boundaries between classes, and thus fashion reached the middle classes; great fashion","houses designed pret-à-porter","fashion for the Department Stores. </s><s> Wearing a hat and gloves was the rule when you left the house. </s><s> No more hats and gloves"
"sharktankzone.com",". </s><s> The ladies asked the Sharks for a $500,000 investment in exchange for 5% equity in their girl-focused toy company. </s><s> The","women designed Roominate","to empower female engineers and innovators, through a building-based toy with working circuits, spinning fans, and"
"mohka.co.uk","it more challenging to come across employment because movie producers have shown a preference for for polished","computer designed canvas","prints. </s><s> A hand-painted contemporary canvas film advertisement costs between £100 and £200 and are typically"
"canalblog.com",": 1-9/16 inches x 1/2 inch. </s><s> Diamond Average Color: G-H-I - Diamond Color: Blue - Diamond Average Clarity: SI </s><s> The","starfish designed pin-brooch","features full-cut diamonds weighing a total of approximately 7.00 carats, set in 18k yellow and white gold, completed"
"blockislandtimes.com","of conserved/undeveloped land. </s><s> On the first lot is the main residence which is a natural light filled and spacious","architect designed home","including 5 bedrooms, 3 bathrooms with a detached 3 car garage with a 2 bedroom, 1 bath apartment above. </s><s> The second lot is"
"foxborobike.com","specifically designed to assure a proper and comfortable fit. </s><s> Most importantly, Aire features a gender-neutral","step-thru designed frame","that makes it easier to dismount when swinging a leg around the rear wheel is not desired or not possible. </s><s> All Ventus"
"fashionnetwork.com","the brand from the inside. </s><s> Our partnership with Salesforce allows us to share everything from our luxurious","Swarovski designed staircase","to Diane''s iconic office while highlighting top looks of the season,"" she said. </s><s> ""We acknowledge that the future of"
