"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","16613"
"query","Query:[tag= ""VB.*""] [tag=""RB""]? [tag = ""VVN"" & lemma = ""stain""] [tag=""IN""] within < s/>;Shuffle:"
"Reference","Left","KWIC","Right"
"wikipedia.org","<s> The yellow-buff coloured spots are very worn, while less worn feathers have white tips; this indicates that the former","were stained during","life or represent a different stage of plumage, and that the latter were fresher. </s><s> The plumage of the spotted green"
"yolasite.com","foot, that ate dried meat from a rope that was placed into old rags and was petrified of the never-ending dread of fingers","being stained from","eating too many berries. </s><s> The closer the hill woman got to the railroad yards, the closer she got to the mounds of fresh,"
"konformist.com","from S&L swindler Charles Keating, an amount she didn''t return even after it was discovered the money was stolen and","was stained with","the blood of those destroyed by this crook. </s><s> Not only that, she proceeded to write a letter to the judge in the Keating"
"tertullian.org","shall we find means to cleanse the conscience of the recipient, when he has not known that the conscience of the giver","is stained with","guilt, and when he receives his faith unwittingly from one that is faithless? </s><s> I ask, where shall we find means to cleanse"
"arvojournals.org","over the course of the experiment. </s><s> (A) D2.hGFAPp-GFP retina with no signs of glaucomatous degeneration. </s><s> Axons (red)","are stained with","an antibody against neurofilament. </s><s> The panel shows a montage of individual images taken at 10× on a confocal"
"rabbitmatters.com",". </s><s> This condition is caused by the fly being attracted to the damp, fur area, of a rabbit''s rear end, where the fur may","be stained with","urine or faeces. </s><s> The fly lays its eggs in the damp area of the fur and the larvae develop in the underlying tissue, which"
"uspto.gov","1-3 cell layers in thickness. </s><s> The samples were viewed under ultraviolet light and analyzed for ingrowth. </s><s> The samples","were then stained with","Stevenel''s blue and Van Geison''s Picro-Fuschin. </s><s> In such staining, bone was red, fibrous tissue was blue, and osteoid"
"jci.org","organization was assessed before and after treatment with MG132 (25 μM for 15 hours). </s><s> For qualitative analyses, cells","were stained with","cardiac troponin T and α-actinin antibodies, and ×20 magnification images (~20 field of view and ~200 cells per"
"microscopyu.com","fluorescence microscopy with the appropriate filter combinations (see Figure 3). </s><s> The thoracic aorta myoblasts","were also stained with","MitoTracker Red CMXRos (mitochondria; red fluorescence) and Hoechst 33258 (DNA in the nucleus; blue fluorescence). </s>"
"slu.edu","? #17, occipital 11. </s><s> If a vesicle were ""electron lucent,"" what would that imply about what kind of substances it is or","is not stained by","? not stained by heavy metals that are electron dense 12. </s><s> Nerves can be studded with spines. </s><s> Where are these? </s><s> Your answer"
