"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","1926"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""][tag=""VVN"" & lemma =""stain""] [tag=""N.*""] within < s/>"
"Reference","Left","KWIC","Right"
"nmletters.org","70 spectrometer (Bruker, Germany) with DTGS or MCT as detector. </s><s> Protein test was carried out by Coomassie brilliant","blue stained SDS-PAGE","on Mini-protean Tetra (Bio-Rad, American) with a ChemiDoc MP imaging system (Bio-Rad, American). </s><s> LC-ESI/HRMS was"
"gamingtarget.com","hooks. </s><s> Imagine that the only thing you can see is whatever the tiny flashlight you have on you can illuminate. </s><s> Imagine","blood stained tiling","walls, and most lifelike animated monsters, and everything unimaginable now come to life and are now out to put you in"
"bmovienation.com",") Who Saw her Die (1972) Seven Blood Stained Orchids (1972) Deep Red (1975) The House with Laughing Windows (1976) The","Blood Stained Shadow","(1978) </s><s> Transparent objects and Blender </s><s> Transparency and light refraction within a transparent material are key"
"avasflowers.net","will be extraordinary."" </s><s> Select a product option </s><s> Give the gift that says you care, the Heart Healthy gift basket. </s><s> This","wicker stained basket","brings gifts of good health to your friends and family. </s><s> Everything the doctor ordered is right here, totally delicious"
"legendsofkansas.com",", the Battles of Hickory Point, Franklin, and Black Jack. </s><s> The constitution was called by James H. Lane, ""the old","blood stained banner",""" and so it was. </s><s> It became the chief issue in the National Campaign of 1856 and as the story became known across the nation,"
"fecalface.com","2013, 47 x 47 x 1 1/2 inches, Acrylic and spray paint on primed duck canvas Finished in satin gel medium framed by artist in","mahogany stained pine","</s><s> Augustine Kofie </s><s> Ludo, Destructionis Hostis Vespa 305o View, Graphite and oil on paper, 32x24"" framed </s><s> Niels ""Shoe"""
"sunderlandminster.co.uk","good work carried out, by the Sikh community). </s><s> Like the East window, this West window follows the best traditions of","church stained glass","; it ornaments and lights up the church , and in doing so it describes events in the life of Our Lord, while the East window"
"roswellfanatics.net","and we should be back to my regular posting schedule now! </s><s> (Meaning I will post chapter eleven on Saturday) </s><s> Chapter Ten:","Blood Stained Memories","</s><s> March 28th, 1999 Ava and Zan were betrothed. </s><s> They seem to like each other, but it is also about political alliance,"
"ecclesiasticalandheritageworld.co.uk",") 2002 (£4,800 awarded) Yvonne Adamson – Conservator of Scagliola (studies in Eastern Europe) Gary Bishop –","Trainee Stained Glass","Artist (medieval glass-painting techniques) Susie Clark – Paper and Photographic Conservator (courses on"
"writewords.org.uk","the void where once my heart did beat. </s><s> I see a face in the mirror, a face I do not recognise. </s><s> The person stares back at me with","tear stained cheeks","and haunted, lifeless eyes. </s><s> All the time his eyes question! </s><s> Question! </s><s> Question! </s><s> I do not know the answers. </s><s> I open my eyes"
"illinoishomes.com","Renovation of an all Brick Galewood Bungalow on a Huge 43x199 Lot. </s><s> Gorgeous Level of Finish throughout including","Walnut Stained Hardwood","Floors, Neutral Paint Palette & Architectural Mouldings & Lighting. </s><s> Open Concept Living/Dining/Eat-In-Kitchen"
